# X	Y	time	B	Z
21.5	3.5	0.2583333333	-0.1383360064	0.5560967941
21.5	3.5	0.2666666667	-0.1383360064	0.5747694755
21.5	3.5	0.275	-0.1383360064	0.5967373941
21.5	3.5	0.2833333333	-0.1383360064	0.6005815079
21.5	3.5	0.2916666667	-0.1383360064	0.6288649682
21.5	3.5	0.3	-0.1383360064	0.6472627168
21.5	3.5	0.3083333333	-0.1423027562	0.6472627168
21.5	3.5	0.3166666667	-0.1383360064	0.6478115934
21.5	3.5	0.325	-0.1383360064	0.6508328868
21.5	3.5	0.3333333333	-0.1383360064	0.6483614589
21.5	3.5	0.3416666667	-0.1423027562	0.6546770006
21.5	3.5	0.35	-0.1423027562	0.6478115934
21.5	3.5	0.3583333333	-0.1383360064	0.6593449237
21.5	3.5	0.3666666667	-0.1383360064	0.6738985585
21.5	3.5	0.375	-0.1423027562	0.6873534513
21.5	3.5	0.3833333333	-0.1383360064	0.7060261327
21.5	3.5	0.3916666667	-0.1383360064	0.7205797675
21.5	3.5	0.4	-0.1423027562	0.7392524488
21.5	3.5	0.4083333333	-0.1383360064	0.748588295
21.5	3.5	0.4166666667	-0.1383360064	0.7428216299
21.5	3.5	0.425	-0.1423027562	0.7529822744
21.5	3.5	0.4333333333	-0.1423027562	0.7867574671
21.5	3.5	0.4416666667	-0.1423027562	0.8293196295
21.5	3.5	0.45	-0.1423027562	0.8463437033
21.5	3.5	0.4583333333	-0.1423027562	0.8721557357
21.5	3.5	0.4666666667	-0.1423027562	0.8875331798
21.5	3.5	0.475	-0.1423027562	0.9051071191
21.5	3.5	0.4833333333	-0.1423027562	0.9276239143
21.5	3.5	0.4916666667	-0.1423027562	0.9498667656
21.5	3.5	0.5	-0.1462372561	0.9592026118
21.5	3.5	0.5083333333	-0.1462372561	0.9762276746
21.5	3.5	0.5166666667	-0.1462372561	0.9896825673
21.5	3.5	0.525	-0.1423027562	0.9998432118
21.5	3.5	0.5333333333	-0.1423027562	0.9979206604
36.5	3.5	0.008333333333	-0.1423027562	0.1807255601
36.5	3.5	0.01666666667	-0.1383360064	0.1807255601
36.5	3.5	0.025	-0.1383360064	0.1804516164
36.5	3.5	0.03333333333	-0.1423027562	0.1807255601
36.5	3.5	0.04166666667	-0.1383360064	0.1807255601
36.5	3.5	0.05	-0.1423027562	0.1793528743
36.5	3.5	0.05833333333	-0.1423027562	0.1790779415
36.5	3.5	0.06666666667	-0.1423027562	0.1807255601
36.5	3.5	0.075	-0.1423027562	0.1881398439
36.5	3.5	0.08333333333	-0.1423027562	0.1950052512
36.5	3.5	0.09166666667	-0.1423027562	0.2194436087
36.5	3.5	0.1	-0.1423027562	0.2232877225
36.5	3.5	0.1083333333	-0.1383360064	0.2523949922
36.5	3.5	0.1166666667	-0.1423027562	0.2600842087
36.5	3.5	0.125	-0.1383360064	0.2971546387
36.5	3.5	0.1333333333	-0.1423027562	0.3051177991
36.5	3.5	0.1416666667	-0.1383360064	0.335047889
36.5	3.5	0.15	-0.1423027562	0.3394418683
36.5	3.5	0.1583333333	-0.1423027562	0.3619586635
36.5	3.5	0.1666666667	-0.1383360064	0.3809052887
36.5	3.5	0.175	-0.1383360064	0.3982052842
36.5	3.5	0.1833333333	-0.1383360064	0.4108363676
36.5	3.5	0.1916666667	-0.1423027562	0.4231935073
36.5	3.5	0.2	-0.1423027562	0.4404925138
36.5	3.5	0.2083333333	-0.1383360064	0.4454353697
36.5	3.5	0.2166666667	-0.1423027562	0.449829349
36.5	3.5	0.225	-0.1423027562	0.4671283555
36.5	3.5	0.2333333333	-0.1423027562	0.4863499134
36.5	3.5	0.2416666667	-0.1423027562	0.5171048017
36.5	3.5	0.25	-0.1423027562	0.5409942827
36.5	3.5	0.2583333333	-0.1383360064	0.5492323758
36.5	3.5	0.2666666667	-0.1383360064	0.5448383965
36.5	3.5	0.275	-0.1423027562	0.5530764896
36.5	3.5	0.2833333333	-0.1423027562	0.5558228503
36.5	3.5	0.2916666667	-0.1383360064	0.5835564451
36.5	3.5	0.3	-0.1423027562	0.592069471
36.5	3.5	0.3083333333	-0.1423027562	0.6110160961
36.5	3.5	0.3166666667	-0.1423027562	0.6318852727
36.5	3.5	0.325	-0.1423027562	0.636279252
36.5	3.5	0.3333333333	-0.1383360064	0.6563246192
36.5	3.5	0.3416666667	-0.1423027562	0.673349682
36.5	3.5	0.35	-0.1423027562	0.6793902909
36.5	3.5	0.3583333333	-0.1383360064	0.6857058327
36.5	3.5	0.3666666667	-0.1423027562	0.7131654837
36.5	3.5	0.375	-0.1423027562	0.7203048347
36.5	3.5	0.3833333333	-0.1423027562	0.723600072
36.5	3.5	0.3916666667	-0.1423027562	0.734309593
36.5	3.5	0.4	-0.1423027562	0.7356822788
36.5	3.5	0.4083333333	-0.1423027562	0.734309593
36.5	3.5	0.4166666667	-0.1423027562	0.7348584695
36.5	3.5	0.425	-0.1423027562	0.7461168671
36.5	3.5	0.4333333333	-0.1423027562	0.7661622344
36.5	3.5	0.4416666667	-0.1423027562	0.7658882906
36.5	3.5	0.45	-0.1423027562	0.7906015809
36.5	3.5	0.4583333333	-0.1423027562	0.8197088505
36.5	3.5	0.4666666667	-0.1423027562	0.8243767736
36.5	3.5	0.475	-0.1423027562	0.8293196295
36.5	3.5	0.4833333333	-0.1423027562	0.8320650012
36.5	3.5	0.4916666667	-0.1462372561	0.8326148667
36.5	3.5	0.5	-0.1423027562	0.8350853057
36.5	3.5	0.5083333333	-0.1423027562	0.8364589805
36.5	3.5	0.5166666667	-0.1423027562	0.8405780271
36.5	3.5	0.525	-0.1462372561	0.8408519709
36.5	3.5	0.5333333333	-0.1423027562	0.8408519709
36.5	3.5	0.5416666667	-0.1462372561	0.8383805429
36.5	3.5	0.55	-0.1462372561	0.839479285
36.5	3.5	0.5583333333	-0.1423027562	0.839479285
36.5	3.5	0.5666666667	-0.1462372561	0.839479285
36.5	3.5	0.575	-0.1462372561	0.8389304085
36.5	3.5	0.5833333333	-0.1462372561	0.8460697595
36.5	3.5	0.5916666667	-0.1423027562	0.8650163846
36.5	3.5	0.6	-0.150171756	0.8930249122
36.5	3.5	0.6083333333	-0.1423027562	0.9114236498
36.5	3.5	0.6166666667	-0.1541062559	0.9487680236
36.5	3.5	0.625	-0.150171756	0.954259756
36.5	3.5	0.6333333333	-0.150171756	0.9668918284
36.5	3.5	0.6416666667	-0.1462372561	0.9855635208
